State,County,County Code,Population,CO,Pb,NO2 (AM),NO2 (1hr),O3,PM10,PM2.5 (WAM),PM2.5 (24hr),SO2
Alabama,Baldwin County,1003,182265,,,,,0.063,,7.3,15,
Alabama,Clay County,1027,13932,,,,,,,6.9,15,
Alabama,Colbert County,1033,54428,,,,,,,,,
Alabama,DeKalb County,1049,71109,,,,,0.061,,6.9,14,
Alabama,Elmore County,1051,79303,,,,,0.058,,,,
Alabama,Escambia County,1053,38319,,,,,,,,,
Alabama,Etowah County,1055,104430,,,,,0.062,,8.2,18,
Alabama,Houston County,1069,101547,,,,,,,,,
Alabama,Jefferson County,1073,658466,1,,9,40,0.066,79,11.7,26,10
Alabama,Madison County,1089,334811,,,,,0.065,66,7.4,16,
Alabama,Mobile County,1097,412992,,,,,0.061,,,,11
Alabama,Montgomery County,1101,229363,,,,,0.06,24,7.8,18,
Alabama,Morgan County,1103,119490,,,,,0.065,,8.5,21,
Alabama,Pike County,1109,32899,,0.22,,,,,,,
Alabama,Russell County,1113,52947,,,,,0.061,,9.1,24,
Alabama,Shelby County,1117,195085,,,,,0.064,,,,50
Alabama,Sumter County,1119,13763,,,,,0.055,,6.8,15,3
Alabama,Talladega County,1121,82291,,,,,,,,,
Alabama,Tuscaloosa County,1125,194656,,,,,0.06,,7.6,17,
Alabama,Walker County,1127,67023,,,,,,,,,
Alaska,Anchorage Municipality,2020,291826,2,,,,,101,4.9,24,
Alaska,Denali Borough,2068,1826,,,,,0.055,,,,
Alaska,Fairbanks North Star Borough,2090,97581,3,,,,0.055,171,12.7,84,33
Alaska,Juneau City and Borough,2110,31275,,,,,,38,5.3,23,
Alaska,Kenai Peninsula Borough,2122,55400,,,,,,,,,
Alaska,Ketchikan Gateway Borough,2130,13477,,,,,,,,,
Alaska,Matanuska-Susitna Borough,2170,88995,,,,,,76,,,
Alaska,Skagway Municipality,2232,968,,,,,,,,,
Arizona,Apache County,4001,71518,,,,,,58,2.5,8,
Arizona,Cochise County,4003,131346,,,,,0.065,124,,,
Arizona,Coconino County,4005,134421,,,,,0.066,,,,
Arizona,Gila County,4007,53597,,0.03,,,0.074,277,,,60
Arizona,La Paz County,4012,20489,,,,,0.066,104,4,12,
Arizona,Maricopa County,4013,3817117,2,,26,61,0.081,223,11.1,33,5
Arizona,Mohave County,4015,200186,,,,,,111,,,
Arizona,Navajo County,4017,107449,,,,,0.065,32,,,
Arizona,Pima County,4019,980263,1,,7,37,0.071,198,6.3,13,2
Arizona,Pinal County,4021,375770,,,,,0.077,431,9,27,
Arizona,Santa Cruz County,4023,47420,,,,,,104,9.6,28,
Arizona,Yavapai County,4025,211033,,,,,0.061,,,,
Arizona,Yuma County,4027,195751,,,,,0.068,234,8.3,23,
Arkansas,Arkansas County,5001,19019,,,,,,,7.8,17,
Arkansas,Ashley County,5003,21853,,,,,,,7.8,24,
Arkansas,Benton County,5007,221339,,,,,,,,,
Arkansas,Clark County,5019,22995,,,,,0.06,,,,
Arkansas,Craighead County,5031,96443,,,,,,,,,
Arkansas,Crittenden County,5035,50902,,,7,41,0.071,,7.7,18,
Arkansas,Faulkner County,5045,113237,,,,,,,,,
Arkansas,Garland County,5051,96024,,,,,,,,,
Arkansas,Jackson County,5067,17997,,,,,,,8,24,
Arkansas,Jefferson County,5069,77435,,,,,,,,,
Arkansas,Marion County,5089,16653,,,,,,,,,
Arkansas,Miller County,5091,43462,,,,,,,,,
Arkansas,Mississippi County,5093,46480,,,,,,,,,
Arkansas,Newton County,5101,8330,,,,,0.064,,,,
Arkansas,Phillips County,5107,21757,,,,,,,,,
Arkansas,Polk County,5113,20662,,,,,0.061,,7.9,21,
Arkansas,Pope County,5115,61754,,,,,,,,,
Arkansas,Pulaski County,5119,382748,1,,7,40,0.064,34,9.6,30,6
Arkansas,Sebastian County,5131,125744,,,,,,,,,
Arkansas,Union County,5139,41639,,,,,,,9.1,27,
Arkansas,Washington County,5143,203065,,,,,0.067,37,7.3,20,
Arkansas,White County,5145,77076,,,,,,,,,
California,Alameda County,6001,1510271,2,,13,43,0.068,,9.4,24,5
California,Amador County,6005,38091,,,,,0.064,,,,
California,Butte County,6007,220000,1,,5,26,0.067,61,7.7,27,
California,Calaveras County,6009,45578,,,,,0.061,38,6.1,17,
California,Colusa County,6011,21419,,,,,0.057,72,7.2,21,
California,Contra Costa County,6013,1049025,1,,8,32,0.067,38,9.9,23,15
California,Del Norte County,6015,28610,,,,,,,,,
California,El Dorado County,6017,181058,,,,,0.074,96,,,
California,Fresno County,6019,930450,2,,20,53,0.081,172,14.8,43,
California,Glenn County,6021,28122,,,,,0.063,101,,,
California,Humboldt County,6023,134623,1,,2,15,0.035,53,6.8,20,1
California,Imperial County,6025,174528,3,,10,49,0.075,765,11,32,6
California,Inyo County,6027,18546,0,,,,0.069,700,9.7,32,1
California,Kern County,6029,839631,1,,22,55,0.087,243,16.6,52,
California,Kings County,6031,152982,,,8,41,0.075,247,14.7,43,
California,Lake County,6033,64665,,,,,0.053,22,4.3,10,
